	Donor.1.01.01.18	Donor.1.01.20.18	Donor.1.03.28.18	Donor.1.21.01.18	Donor.1.22.01.18	Donor.2.01.05.18	Donor.2.14.07.18	Donor.2.16.07.18	Donor.2.23.01.18	Donor.2.23.05.18	MK.FMT.001.0m	MK.FMT.001.10m	MK.FMT.001.11m	MK.FMT.001.1m	MK.FMT.001.2m	MK.FMT.001.3m	MK.FMT.001.4m	MK.FMT.001.5m	MK.FMT.001.6m	MK.FMT.001.7m	MK.FMT.001.8m	MK.FMT.001.9m	MK.FMT.002.0m	MK.FMT.002.10m	MK.FMT.002.11m	MK.FMT.002.12m	MK.FMT.002.1m	MK.FMT.002.2m	MK.FMT.002.3m	MK.FMT.002.4m	MK.FMT.002.5m	MK.FMT.002.6m	MK.FMT.002.7m	MK.FMT.002.8m	MK.FMT.002.9m	MK.FMT.003.0m	MK.FMT.003.10m	MK.FMT.003.11m	MK.FMT.003.12m	MK.FMT.003.1m	MK.FMT.003.2m	MK.FMT.003.3m	MK.FMT.003.4m	MK.FMT.003.5m	MK.FMT.003.6m	MK.FMT.003.7m	MK.FMT.003.8m	MK.FMT.003.9m	MK.FMT.004.0m	MK.FMT.004.10m	MK.FMT.004.2m	MK.FMT.004.3m	MK.FMT.004.4m	MK.FMT.004.5m	MK.FMT.004.6m	MK.FMT.004.7m	MK.FMT.004.8m	MK.FMT.004.9m	MK.FMT.007.0m	MK.FMT.007.10m	MK.FMT.007.11m	MK.FMT.007.1m	MK.FMT.007.2m	MK.FMT.007.3m	MK.FMT.007.4m	MK.FMT.007.5m	MK.FMT.007.6m	MK.FMT.007.7m	MK.FMT.007.8m	MK.FMT.007.9m	MK.FMT.008.0m	MK.FMT.008.1m	MK.FMT.008.2m	MK.FMT.008.3m	MK.FMT.008.4m	MK.FMT.008.5m	MK.FMT.008.6m	MK.FMT.008.7m	MK.FMT.009.0m	MK.FMT.009.1m	MK.FMT.009.2m	MK.FMT.009.3m	MK.FMT.009.4m	MK.FMT.009.5m	MK.FMT.009.6m	MK.FMT.009.7m	MK.FMT.009.8m	MK.FMT.009.9m	MK.FMT.010.0m	MK.FMT.010.1m	MK.FMT.010.2m	MK.FMT.010.3m	MK.FMT.010.4m	MK.FMT.010.5m	MK.FMT.010.6m	MK.FMT.010.7m	MK.FMT.011.0m	MK.FMT.011.1m	MK.FMT.011.2m	MK.FMT.011.3m	MK.FMT.011.4m	MK.FMT.011.5m	MK.FMT.011.6m	MK.FMT.012.0m	MK.FMT.012.1m	MK.FMT.012.2m	MK.FMT.012.3m	MK.FMT.012.4m	MK.FMT.012.5m	MK.FMT.012.6m	MK.FMT.012.7m	MK.FMT.012.8m	MK.FMT.013.0m	MK.FMT.013.1m	MK.FMT.013.2m	MK.FMT.013.3m	MK.FMT.013.4m	taxonomy
SV_1	778	741	379	366	572	691	2844	6065	2807	919	253	1752	977	530	670	1962	2469	2051	4066	1590	829	2265	593	1020	2434	3155	984	669	903	540	405	283	283	218	518	3538	4058	2643	1946	5553	2935	4854	1707	491	6246	6242	1756	15720	1437	354	5481	2535	3862	1015	5171	1189	3203	4482	3307	1450	1739	6442	2026	1158	658	1262	812	1195	7811	6233	9319	8676	1432	1727	3802	10666	7408	2671	4942	3311	6000	4100	1013	8477	1949	14370	1705	6481	8320	11705	928	19837	646	2665	17238	7574	6346	10659	6649	2016	3000	697	1275	721	1383	2270	4313	1838	3594	2932	2173	357	759	588	384	985	878	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:vulgatus
SV_10	267	173	92	74	66	277	1143	4133	1387	136	70	269	191	76	78	84	106	105	164	141	70	269	879	1321	1665	1045	699	967	1607	654	273	343	365	982	938	1471	1736	2028	1613	1301	546	1695	587	84	1472	943	239	2584	346	102	443	1814	1012	211	596	1495	1770	1775	149	262	419	153	98	138	49	132	79	410	1267	898	1530	2056	426	950	1415	4185	1779	448	2669	2601	1967	1153	334	4116	732	6884	923	2248	801	1423	101	1697	374	179	1116	1258	736	2999	903	195	192	287	175	106	126	195	150	55	177	135	112	1614	1817	1161	1701	6014	1017	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Rikenellaceae:Alistipes:putredinis
SV_100	16	0	0	15	0	12	13	18	37	0	0	0	0	17	13	83	17	24	14	0	0	0	20	15	0	0	60	0	0	17	0	0	0	0	47	0	1098	1625	238	253	818	348	2052	0	745	707	26	1783	21	26	0	1446	109	178	0	13	21	0	44	0	0	0	0	0	32	0	0	44	51	27	18	35	13	0	68	15	18	78	0	58	0	0	13	63	12	0	22	19	0	0	0	0	29	16	23	33	0	0	28	0	115	0	0	0	0	13	0	22	20	23	0	30	18	40	0	29	0	Bacteria:Verrucomicrobiota:Verrucomicrobiae:Verrucomicrobiales:Akkermansiaceae:Akkermansia:muciniphila
SV_101	0	4	11	0	25	0	0	37	0	0	0	0	0	15	0	0	0	0	0	20	0	45	0	0	0	0	6	0	0	0	12	0	0	24	7	0	0	13	0	0	10	0	0	10	0	0	13	35	15	0	0	0	0	32	23	20	32	24	0	0	0	14	0	19	0	0	17	0	12	15	52	216	89	37	99	332	143	0	0	0	0	0	0	10	28	0	0	15	24	12	0	0	0	0	0	0	0	13	0	8	0	12	15	0	243	1080	724	6	1183	3243	3779	413	0	17	22	17	0	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Rikenellaceae:Alistipes:NA
SV_102	0	0	36	0	0	177	1000	800	964	1773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1252	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	1169	4573	0	0	0	25	0	30	0	0	0	0	0	28	0	0	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_9:NA
SV_103	30	22	21	0	35	0	0	33	19	29	0	18	19	29	0	0	15	19	0	37	0	58	0	0	0	0	15	19	10	14	37	0	0	38	22	0	51	0	15	0	25	13	21	33	0	0	0	0	54	0	0	23	23	39	23	0	39	24	25	35	9	29	8	27	0	17	14	6	69	54	48	758	282	744	900	1085	283	1529	0	25	24	12	30	0	35	0	0	19	939	275	0	574	376	234	946	490	0	21	17	43	23	0	33	0	626	206	84	0	61	32	133	0	22	28	0	15	0	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Coprococcus:eutactus
SV_104	0	15	0	0	0	0	0	0	0	0	0	0	19	0	0	29	45	32	0	0	14	0	110	161	68	35	62	130	155	67	79	86	51	126	60	58	35	0	361	57	75	168	0	0	82	55	20	353	0	31	0	56	57	0	66	0	255	0	33	44	24	155	47	52	0	30	74	23	158	109	37	293	45	122	72	353	73	0	116	350	403	153	79	571	108	304	127	1433	0	96	0	103	0	29	193	0	94	70	120	34	102	136	165	0	261	639	171	0	116	214	506	449	0	0	41	39	28	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Roseburia:hominis
SV_105	122	75	78	0	0	0	44	36	40	0	0	0	0	0	0	0	0	0	0	0	0	0	57	57	134	130	241	94	44	140	47	30	53	48	107	27	386	437	100	150	116	180	124	0	240	108	0	295	0	0	0	64	34	36	56	101	0	199	43	637	387	399	799	945	85	911	20	2049	276	142	125	0	47	55	21	0	39	0	0	0	38	0	0	0	32	80	0	0	0	99	0	129	55	0	0	0	27	35	53	28	50	0	18	0	0	0	0	34	0	0	0	0	0	0	0	50	35	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:UCG-002:NA
SV_106	39	53	14	0	16	17	32	45	16	0	0	263	224	50	84	67	58	82	142	82	98	197	102	194	310	94	212	225	326	185	56	68	55	274	157	84	383	296	246	191	87	124	92	11	346	207	15	704	14	13	12	44	54	32	165	199	23	46	39	365	26	162	268	77	49	601	225	75	282	213	80	60	29	29	42	35	58	31	31	40	25	15	17	49	30	129	30	69	20	35	22	59	28	19	50	30	42	179	60	22	52	29	46	22	22	57	139	0	42	44	156	67	32	17	22	174	28	Bacteria:Firmicutes:Clostridia:Oscillospirales:Oscillospiraceae:Oscillibacter:NA
SV_107	168	139	66	38	12	43	7	0	27	0	0	516	112	35	319	180	95	96	267	34	302	186	0	174	0	40	0	0	260	0	0	0	64	0	739	21	79	43	0	50	21	0	8	0	41	50	0	0	8	16	23	25	105	33	0	0	19	0	389	840	141	31	79	2299	58	243	7	1164	226	15	19	0	64	0	9	0	313	155	165	16	20	0	11	19	17	47	29	15	0	0	0	0	0	0	0	114	0	19	0	19	0	0	9	0	0	13	41	9	8	0	38	13	293	198	8	11	52	Bacteria:Firmicutes:Clostridia:Peptostreptococcales-Tissierellales:Family XI:Peptoniphilus:NA
